"Município";"Equipamentos Existentes";"Equipamentos em Uso";"Estab c/ Equip SUS"
"130006 Amaturá";-;-;-
"130008 Anamã";-;-;-
"130010 Anori";-;-;-
"130014 Apuí";1;1;1
"130020 Atalaia do Norte";-;-;-
"130030 Autazes";1;1;1
"130040 Barcelos";-;-;-
"130050 Barreirinha";-;-;-
"130060 Benjamin Constant";-;-;-
"130063 Beruri";-;-;-
"130068 Boa Vista do Ramos";-;-;-
"130070 Boca do Acre";-;-;-
"130080 Borba";2;-;1
"130083 Caapiranga";-;-;-
"130090 Canutama";-;-;-
"130100 Carauari";1;1;1
"130110 Careiro";-;-;-
"130115 Careiro da Várzea";-;-;-
"130120 Coari";3;3;1
"130130 Codajás";-;-;-
"130140 Eirunepé";-;-;-
"130150 Envira";-;-;-
"130160 Fonte Boa";-;-;-
"130165 Guajará";-;-;-
"130170 Humaitá";1;1;1
"130180 Ipixuna";-;-;-
"130185 Iranduba";-;-;-
"130190 Itacoatiara";2;2;1
"130195 Itamarati";-;-;-
"130200 Itapiranga";-;-;-
"130210 Japurá";-;-;-
"130220 Juruá";-;-;-
"130230 Jutaí";-;-;-
"130240 Lábrea";-;-;-
"130250 Manacapuru";-;-;-
"130255 Manaquiri";-;-;-
"130260 Manaus";844;786;62
"130270 Manicoré";1;-;1
"130280 Maraã";-;-;-
"130290 Maués";5;5;1
"130300 Nhamundá";-;-;-
"130310 Nova Olinda do Norte";-;-;-
"130320 Novo Airão";-;-;-
"130330 Novo Aripuanã";-;-;-
"130340 Parintins";7;7;2
"130350 Pauini";1;1;1
"130353 Presidente Figueiredo";4;4;1
"130356 Rio Preto da Eva";1;1;1
"130360 Santa Isabel do Rio Negro";-;-;-
"130370 Santo Antônio do Içá";-;-;-
"130380 São Gabriel da Cachoeira";8;8;2
"130390 São Paulo de Olivença";-;-;-
"130395 São Sebastião do Uatumã";1;1;1
"130400 Silves";-;-;-
"130406 Tabatinga";13;13;3
"130410 Tapauá";1;-;-
"130420 Tefé";2;2;1
"130423 Tonantins";-;-;-
"130426 Uarini";-;-;-
"130430 Urucará";-;-;-
"130440 Urucurituba";-;-;-
"130000 Município ignorado - AM";-;-;-
"140005 Alto Alegre";-;-;-
"140002 Amajari";-;-;-
"140010 Boa Vista";149;103;9
"140015 Bonfim";-;-;-
"140017 Cantá";-;-;-
"140020 Caracaraí";-;-;-
"140023 Caroebe";-;-;-
"140028 Iracema";-;-;-
"140030 Mucajaí";-;-;-
"140040 Normandia";-;-;-
"140045 Pacaraima";-;-;-
"140047 Rorainópolis";3;3;1
"140050 São João da Baliza";-;-;-
"140060 São Luiz";-;-;-
"140070 Uiramutã";-;-;-
"140000 Município ignorado - RR";-;-;-
"150010 Abaetetuba";10;10;2
"150013 Abel Figueiredo";1;1;1
"150020 Acará";9;9;2
"150030 Afuá";-;-;-
"150034 Água Azul do Norte";-;-;-
"150040 Alenquer";-;-;-
"150050 Almeirim";4;4;1
"150060 Altamira";43;43;3
"150070 Anajás";-;-;-
"150080 Ananindeua";115;97;12
"150085 Anapu";1;1;1
"150090 Augusto Corrêa";-;-;-
"150095 Aurora do Pará";1;1;1
"150100 Aveiro";1;1;1
"150110 Bagre";1;1;1
"150120 Baião";3;3;2
"150125 Bannach";-;-;-
"150130 Barcarena";31;31;2
"150140 Belém";675;641;36
"150145 Belterra";-;-;-
"150150 Benevides";2;2;2
"150157 Bom Jesus do Tocantins";7;7;1
"150160 Bonito";-;-;-
"150170 Bragança";34;34;3
"150172 Brasil Novo";-;-;-
"150175 Brejo Grande do Araguaia";-;-;-
"150178 Breu Branco";3;3;1
"150180 Breves";26;26;1
"150190 Bujaru";-;-;-
"150200 Cachoeira do Arari";-;-;-
"150195 Cachoeira do Piriá";-;-;-
"150210 Cametá";1;1;1
"150215 Canaã dos Carajás";10;10;1
"150220 Capanema";9;7;4
"150230 Capitão Poço";1;1;1
"150240 Castanhal";24;24;5
"150250 Chaves";-;-;-
"150260 Colares";-;-;-
"150270 Conceição do Araguaia";6;6;2
"150275 Concórdia do Pará";-;-;-
"150276 Cumaru do Norte";1;1;1
"150277 Curionópolis";-;-;-
"150280 Curralinho";-;-;-
"150285 Curuá";-;-;-
"150290 Curuçá";1;1;1
"150293 Dom Eliseu";1;1;1
"150295 Eldorado do Carajás";-;-;-
"150300 Faro";-;-;-
"150304 Floresta do Araguaia";1;-;1
"150307 Garrafão do Norte";2;2;2
"150309 Goianésia do Pará";-;-;-
"150310 Gurupá";1;1;1
"150320 Igarapé-Açu";-;-;-
"150330 Igarapé-Miri";-;-;-
"150340 Inhangapi";-;-;-
"150345 Ipixuna do Pará";-;-;-
"150350 Irituia";-;-;-
"150360 Itaituba";2;2;1
"150370 Itupiranga";1;1;1
"150375 Jacareacanga";-;-;-
"150380 Jacundá";9;9;4
"150390 Juruti";13;8;2
"150400 Limoeiro do Ajuru";-;-;-
"150405 Mãe do Rio";1;1;1
"150410 Magalhães Barata";-;-;-
"150420 Marabá";73;64;5
"150430 Maracanã";-;-;-
"150440 Marapanim";-;-;-
"150442 Marituba";20;20;3
"150445 Medicilândia";-;-;-
"150450 Melgaço";1;1;1
"150460 Mocajuba";-;-;-
"150470 Moju";1;1;1
"150475 Mojuí dos Campos";-;-;-
"150480 Monte Alegre";-;-;-
"150490 Muaná";-;-;-
"150495 Nova Esperança do Piriá";1;1;1
"150497 Nova Ipixuna";1;1;1
"150500 Nova Timboteua";-;-;-
"150503 Novo Progresso";3;3;1
"150506 Novo Repartimento";1;1;1
"150510 Óbidos";-;-;-
"150520 Oeiras do Pará";-;-;-
"150530 Oriximiná";4;4;1
"150540 Ourém";-;-;-
"150543 Ourilândia do Norte";1;1;1
"150548 Pacajá";2;2;1
"150549 Palestina do Pará";-;-;-
"150550 Paragominas";34;32;3
"150553 Parauapebas";46;38;2
"150555 Pau D'Arco";-;-;-
"150560 Peixe-Boi";-;-;-
"150563 Piçarra";-;-;-
"150565 Placas";1;1;1
"150570 Ponta de Pedras";-;-;-
"150580 Portel";-;-;-
"150590 Porto de Moz";-;-;-
"150600 Prainha";-;-;-
"150610 Primavera";1;1;1
"150611 Quatipuru";-;-;-
"150613 Redenção";44;39;2
"150616 Rio Maria";-;-;-
"150618 Rondon do Pará";-;-;-
"150619 Rurópolis";1;1;1
"150620 Salinópolis";5;5;2
"150630 Salvaterra";-;-;-
"150635 Santa Bárbara do Pará";-;-;-
"150640 Santa Cruz do Arari";-;-;-
"150650 Santa Izabel do Pará";1;1;1
"150655 Santa Luzia do Pará";1;1;1
"150658 Santa Maria das Barreiras";2;2;2
"150660 Santa Maria do Pará";-;-;-
"150670 Santana do Araguaia";1;-;1
"150680 Santarém";55;43;5
"150690 Santarém Novo";-;-;-
"150700 Santo Antônio do Tauá";-;-;-
"150710 São Caetano de Odivelas";-;-;-
"150715 São Domingos do Araguaia";-;-;-
"150720 São Domingos do Capim";-;-;-
"150730 São Félix do Xingu";3;3;2
"150740 São Francisco do Pará";-;-;-
"150745 São Geraldo do Araguaia";-;-;-
"150746 São João da Ponta";-;-;-
"150747 São João de Pirabas";1;1;1
"150750 São João do Araguaia";-;-;-
"150760 São Miguel do Guamá";1;1;1
"150770 São Sebastião da Boa Vista";1;1;1
"150775 Sapucaia";-;-;-
"150780 Senador José Porfírio";1;1;1
"150790 Soure";-;-;-
"150795 Tailândia";8;6;4
"150796 Terra Alta";-;-;-
"150797 Terra Santa";-;-;-
"150800 Tomé-Açu";4;3;2
"150803 Tracuateua";1;1;1
"150805 Trairão";-;-;-
"150808 Tucumã";4;4;4
"150810 Tucuruí";28;28;2
"150812 Ulianópolis";3;3;1
"150815 Uruará";-;-;-
"150820 Vigia";-;-;-
"150830 Viseu";-;-;-
"150835 Vitória do Xingu";3;2;1
"150840 Xinguara";3;2;1
"150000 Município ignorado - PA";-;-;-
"160010 Amapá";-;-;-
"160020 Calçoene";-;-;-
"160021 Cutias";-;-;-
"160023 Ferreira Gomes";-;-;-
"160025 Itaubal";-;-;-
"160027 Laranjal do Jari";2;2;1
"160030 Macapá";84;78;9
"160040 Mazagão";-;-;-
"160050 Oiapoque";-;-;-
"160015 Pedra Branca do Amapari";-;-;-
"160053 Porto Grande";-;-;-
"160055 Pracuúba";-;-;-
"160060 Santana";8;8;1
"160005 Serra do Navio";-;-;-
"160070 Tartarugalzinho";-;-;-
"160080 Vitória do Jari";-;-;-
"160000 Município ignorado - AP";-;-;-
"170025 Abreulândia";-;-;-
"170030 Aguiarnópolis";-;-;-
"170035 Aliança do Tocantins";-;-;-
"170040 Almas";-;-;-
"170070 Alvorada";1;1;1
"170100 Ananás";-;-;-
"170105 Angico";-;-;-
"170110 Aparecida do Rio Negro";-;-;-
"170130 Aragominas";-;-;-
"170190 Araguacema";1;1;1
"170200 Araguaçu";-;-;-
"170210 Araguaína";79;78;9
"170215 Araguanã";-;-;-
"170220 Araguatins";-;-;-
"170230 Arapoema";-;-;-
"170240 Arraias";-;-;-
"170255 Augustinópolis";4;4;1
"170270 Aurora do Tocantins";-;-;-
"170290 Axixá do Tocantins";-;-;-
"170300 Babaçulândia";-;-;-
"170305 Bandeirantes do Tocantins";-;-;-
"170307 Barra do Ouro";-;-;-
"170310 Barrolândia";-;-;-
"170320 Bernardo Sayão";-;-;-
"170330 Bom Jesus do Tocantins";-;-;-
"170360 Brasilândia do Tocantins";-;-;-
"170370 Brejinho de Nazaré";-;-;-
"170380 Buriti do Tocantins";-;-;-
"170382 Cachoeirinha";-;-;-
"170384 Campos Lindos";-;-;-
"170386 Cariri do Tocantins";-;-;-
"170388 Carmolândia";-;-;-
"170389 Carrasco Bonito";-;-;-
"170390 Caseara";-;-;-
"170410 Centenário";-;-;-
"170510 Chapada da Natividade";-;-;-
"170460 Chapada de Areia";-;-;-
"170550 Colinas do Tocantins";2;2;1
"171670 Colméia";-;-;-
"170555 Combinado";-;-;-
"170560 Conceição do Tocantins";-;-;-
"170600 Couto Magalhães";-;-;-
"170610 Cristalândia";-;-;-
"170625 Crixás do Tocantins";-;-;-
"170650 Darcinópolis";-;-;-
"170700 Dianópolis";1;1;1
"170710 Divinópolis do Tocantins";-;-;-
"170720 Dois Irmãos do Tocantins";-;-;-
"170730 Dueré";-;-;-
"170740 Esperantina";-;-;-
"170755 Fátima";-;-;-
"170765 Figueirópolis";-;-;-
"170770 Filadélfia";1;1;1
"170820 Formoso do Araguaia";-;-;-
"170825 Fortaleza do Tabocão";-;-;-
"170830 Goianorte";-;-;-
"170900 Goiatins";-;-;-
"170930 Guaraí";3;3;1
"170950 Gurupi";30;30;2
"170980 Ipueiras";-;-;-
"171050 Itacajá";-;-;-
"171070 Itaguatins";1;1;1
"171090 Itapiratins";-;-;-
"171110 Itaporã do Tocantins";-;-;-
"171150 Jaú do Tocantins";-;-;-
"171180 Juarina";-;-;-
"171190 Lagoa da Confusão";-;-;-
"171195 Lagoa do Tocantins";-;-;-
"171200 Lajeado";-;-;-
"171215 Lavandeira";-;-;-
"171240 Lizarda";-;-;-
"171245 Luzinópolis";-;-;-
"171250 Marianópolis do Tocantins";2;2;1
"171270 Mateiros";-;-;-
"171280 Maurilândia do Tocantins";-;-;-
"171320 Miracema do Tocantins";3;3;1
"171330 Miranorte";-;-;-
"171360 Monte do Carmo";-;-;-
"171370 Monte Santo do Tocantins";-;-;-
"171395 Muricilândia";-;-;-
"171420 Natividade";-;-;-
"171430 Nazaré";-;-;-
"171488 Nova Olinda";1;1;1
"171500 Nova Rosalândia";-;-;-
"171510 Novo Acordo";1;1;1
"171515 Novo Alegre";-;-;-
"171525 Novo Jardim";-;-;-
"171550 Oliveira de Fátima";-;-;-
"172100 Palmas";168;151;11
"171570 Palmeirante";-;-;-
"171380 Palmeiras do Tocantins";-;-;-
"171575 Palmeirópolis";-;-;-
"171610 Paraíso do Tocantins";6;6;1
"171620 Paranã";-;-;-
"171630 Pau D'Arco";-;-;-
"171650 Pedro Afonso";1;-;1
"171660 Peixe";-;-;-
"171665 Pequizeiro";-;-;-
"171700 Pindorama do Tocantins";-;-;-
"171720 Piraquê";-;-;-
"171750 Pium";1;1;1
"171780 Ponte Alta do Bom Jesus";-;-;-
"171790 Ponte Alta do Tocantins";-;-;-
"171800 Porto Alegre do Tocantins";-;-;-
"171820 Porto Nacional";8;8;4
"171830 Praia Norte";-;-;-
"171840 Presidente Kennedy";-;-;-
"171845 Pugmil";-;-;-
"171850 Recursolândia";-;-;-
"171855 Riachinho";-;-;-
"171865 Rio da Conceição";-;-;-
"171870 Rio dos Bois";-;-;-
"171875 Rio Sono";-;-;-
"171880 Sampaio";-;-;-
"171884 Sandolândia";-;-;-
"171886 Santa Fé do Araguaia";-;-;-
"171888 Santa Maria do Tocantins";-;-;-
"171889 Santa Rita do Tocantins";-;-;-
"171890 Santa Rosa do Tocantins";-;-;-
"171900 Santa Tereza do Tocantins";-;-;-
"172000 Santa Terezinha do Tocantins";-;-;-
"172010 São Bento do Tocantins";-;-;-
"172015 São Félix do Tocantins";-;-;-
"172020 São Miguel do Tocantins";-;-;-
"172025 São Salvador do Tocantins";-;-;-
"172030 São Sebastião do Tocantins";-;-;-
"172049 São Valério";-;-;-
"172065 Silvanópolis";-;-;-
"172080 Sítio Novo do Tocantins";-;-;-
"172085 Sucupira";-;-;-
"172090 Taguatinga";1;1;1
"172093 Taipas do Tocantins";-;-;-
"172097 Talismã";-;-;-
"172110 Tocantínia";-;-;-
"172120 Tocantinópolis";3;3;2
"172125 Tupirama";-;-;-
"172130 Tupiratins";-;-;-
"172208 Wanderlândia";-;-;-
"172210 Xambioá";-;-;-
"170000 Município ignorado - TO";-;-;-
"210005 Açailândia";4;4;2
"210010 Afonso Cunha";1;1;1
"210015 Água Doce do Maranhão";-;-;-
"210020 Alcântara";-;-;-
"210030 Aldeias Altas";1;1;1
"210040 Altamira do Maranhão";1;1;1
"210043 Alto Alegre do Maranhão";3;3;1
"210047 Alto Alegre do Pindaré";-;-;-
"210050 Alto Parnaíba";-;-;-
"210055 Amapá do Maranhão";-;-;-
"210060 Amarante do Maranhão";3;3;2
"210070 Anajatuba";-;-;-
"210080 Anapurus";-;-;-
"210083 Apicum-Açu";-;-;-
"210087 Araguanã";-;-;-
"210090 Araioses";4;4;2
"210095 Arame";-;-;-
"210100 Arari";-;-;-
"210110 Axixá";-;-;-
"210120 Bacabal";3;3;2
"210125 Bacabeira";-;-;-
"210130 Bacuri";-;-;-
"210135 Bacurituba";-;-;-
"210140 Balsas";28;25;5
"210150 Barão de Grajaú";-;-;-
"210160 Barra do Corda";8;6;5
"210170 Barreirinhas";3;3;1
"210177 Bela Vista do Maranhão";-;-;-
"210173 Belágua";-;-;-
"210180 Benedito Leite";-;-;-
"210190 Bequimão";-;-;-
"210193 Bernardo do Mearim";2;2;1
"210197 Boa Vista do Gurupi";-;-;-
"210200 Bom Jardim";-;-;-
"210203 Bom Jesus das Selvas";-;-;-
"210207 Bom Lugar";-;-;-
"210210 Brejo";-;-;-
"210215 Brejo de Areia";-;-;-
"210220 Buriti";-;-;-
"210230 Buriti Bravo";-;-;-
"210232 Buriticupu";7;7;3
"210235 Buritirana";-;-;-
"210237 Cachoeira Grande";-;-;-
"210240 Cajapió";1;1;1
"210250 Cajari";-;-;-
"210255 Campestre do Maranhão";-;-;-
"210260 Cândido Mendes";-;-;-
"210270 Cantanhede";-;-;-
"210275 Capinzal do Norte";-;-;-
"210280 Carolina";1;1;1
"210290 Carutapera";-;-;-
"210300 Caxias";47;42;5
"210310 Cedral";1;1;1
"210312 Central do Maranhão";-;-;-
"210315 Centro do Guilherme";-;-;-
"210317 Centro Novo do Maranhão";-;-;-
"210320 Chapadinha";8;8;2
"210325 Cidelândia";-;-;-
"210330 Codó";21;20;2
"210340 Coelho Neto";8;7;2
"210350 Colinas";5;5;3
"210355 Conceição do Lago-Açu";1;1;1
"210360 Coroatá";25;25;2
"210370 Cururupu";-;-;-
"210375 Davinópolis";-;-;-
"210380 Dom Pedro";-;-;-
"210390 Duque Bacelar";1;1;1
"210400 Esperantinópolis";1;1;1
"210405 Estreito";-;-;-
"210407 Feira Nova do Maranhão";-;-;-
"210408 Fernando Falcão";-;-;-
"210409 Formosa da Serra Negra";-;-;-
"210410 Fortaleza dos Nogueiras";-;-;-
"210420 Fortuna";-;-;-
"210430 Godofredo Viana";-;-;-
"210440 Gonçalves Dias";-;-;-
"210450 Governador Archer";-;-;-
"210455 Governador Edison Lobão";-;-;-
"210460 Governador Eugênio Barros";-;-;-
"210462 Governador Luiz Rocha";-;-;-
"210465 Governador Newton Bello";-;-;-
"210467 Governador Nunes Freire";-;-;-
"210470 Graça Aranha";-;-;-
"210480 Grajaú";8;8;2
"210490 Guimarães";-;-;-
"210500 Humberto de Campos";2;1;1
"210510 Icatu";-;-;-
"210515 Igarapé do Meio";-;-;-
"210520 Igarapé Grande";-;-;-
"210530 Imperatriz";116;115;6
"210535 Itaipava do Grajaú";5;3;1
"210540 Itapecuru Mirim";-;-;-
"210542 Itinga do Maranhão";1;1;1
"210545 Jatobá";-;-;-
"210547 Jenipapo dos Vieiras";-;-;-
"210550 João Lisboa";-;-;-
"210560 Joselândia";-;-;-
"210565 Junco do Maranhão";-;-;-
"210570 Lago da Pedra";-;-;-
"210580 Lago do Junco";-;-;-
"210594 Lago dos Rodrigues";-;-;-
"210590 Lago Verde";-;-;-
"210592 Lagoa do Mato";-;-;-
"210596 Lagoa Grande do Maranhão";1;1;1
"210598 Lajeado Novo";-;-;-
"210600 Lima Campos";1;1;1
"210610 Loreto";1;1;1
"210620 Luís Domingues";-;-;-
"210630 Magalhães de Almeida";-;-;-
"210632 Maracaçumé";-;-;-
"210635 Marajá do Sena";-;-;-
"210637 Maranhãozinho";-;-;-
"210640 Mata Roma";-;-;-
"210650 Matinha";-;-;-
"210660 Matões";2;2;1
"210663 Matões do Norte";8;8;1
"210667 Milagres do Maranhão";-;-;-
"210670 Mirador";-;-;-
"210675 Miranda do Norte";-;-;-
"210680 Mirinzal";1;1;1
"210690 Monção";5;5;1
"210700 Montes Altos";-;-;-
"210710 Morros";1;1;1
"210720 Nina Rodrigues";-;-;-
"210725 Nova Colinas";-;-;-
"210730 Nova Iorque";-;-;-
"210735 Nova Olinda do Maranhão";-;-;-
"210740 Olho d'Água das Cunhãs";-;-;-
"210745 Olinda Nova do Maranhão";-;-;-
"210750 Paço do Lumiar";7;5;2
"210760 Palmeirândia";-;-;-
"210770 Paraibano";-;-;-
"210780 Parnarama";-;-;-
"210790 Passagem Franca";-;-;-
"210800 Pastos Bons";-;-;-
"210805 Paulino Neves";-;-;-
"210810 Paulo Ramos";-;-;-
"210820 Pedreiras";1;1;-
"210825 Pedro do Rosário";-;-;-
"210830 Penalva";-;-;-
"210840 Peri Mirim";-;-;-
"210845 Peritoró";5;5;1
"210850 Pindaré-Mirim";-;-;-
"210860 Pinheiro";5;5;3
"210870 Pio XII";-;-;-
"210880 Pirapemas";1;1;1
"210890 Poção de Pedras";1;1;1
"210900 Porto Franco";2;2;2
"210905 Porto Rico do Maranhão";-;-;-
"210910 Presidente Dutra";31;21;3
"210920 Presidente Juscelino";-;-;-
"210923 Presidente Médici";-;-;-
"210927 Presidente Sarney";-;-;-
"210930 Presidente Vargas";-;-;-
"210940 Primeira Cruz";-;-;-
"210945 Raposa";-;-;-
"210950 Riachão";2;1;1
"210955 Ribamar Fiquene";-;-;-
"210960 Rosário";-;-;-
"210970 Sambaíba";-;-;-
"210975 Santa Filomena do Maranhão";-;-;-
"210980 Santa Helena";1;1;1
"210990 Santa Inês";16;16;2
"211000 Santa Luzia";4;4;1
"211003 Santa Luzia do Paruá";-;-;-
"211010 Santa Quitéria do Maranhão";-;-;-
"211020 Santa Rita";7;7;3
"211023 Santana do Maranhão";1;1;1
"211027 Santo Amaro do Maranhão";-;-;-
"211030 Santo Antônio dos Lopes";-;-;-
"211040 São Benedito do Rio Preto";-;-;-
"211050 São Bento";1;1;1
"211060 São Bernardo";-;-;-
"211065 São Domingos do Azeitão";-;-;-
"211070 São Domingos do Maranhão";-;-;-
"211080 São Félix de Balsas";-;-;-
"211085 São Francisco do Brejão";-;-;-
"211090 São Francisco do Maranhão";-;-;-
"211100 São João Batista";-;-;-
"211102 São João do Carú";-;-;-
"211105 São João do Paraíso";-;-;-
"211107 São João do Soter";-;-;-
"211110 São João dos Patos";2;2;1
"211120 São José de Ribamar";25;23;1
"211125 São José dos Basílios";-;-;-
"211130 São Luís";572;531;31
"211140 São Luís Gonzaga do Maranhão";-;-;-
"211150 São Mateus do Maranhão";-;-;-
"211153 São Pedro da Água Branca";3;3;2
"211157 São Pedro dos Crentes";-;-;-
"211160 São Raimundo das Mangabeiras";1;-;1
"211163 São Raimundo do Doca Bezerra";-;-;-
"211167 São Roberto";-;-;-
"211170 São Vicente Ferrer";1;1;1
"211172 Satubinha";-;-;-
"211174 Senador Alexandre Costa";-;-;-
"211176 Senador La Rocque";-;-;-
"211178 Serrano do Maranhão";-;-;-
"211180 Sítio Novo";-;-;-
"211190 Sucupira do Norte";-;-;-
"211195 Sucupira do Riachão";-;-;-
"211200 Tasso Fragoso";-;-;-
"211210 Timbiras";3;3;1
"211220 Timon";11;10;5
"211223 Trizidela do Vale";-;-;-
"211227 Tufilândia";-;-;-
"211230 Tuntum";3;3;2
"211240 Turiaçu";17;17;10
"211245 Turilândia";-;-;-
"211250 Tutóia";-;-;-
"211260 Urbano Santos";-;-;-
"211270 Vargem Grande";-;-;-
"211280 Viana";-;-;-
"211285 Vila Nova dos Martírios";-;-;-
"211290 Vitória do Mearim";-;-;-
"211300 Vitorino Freire";-;-;-
"211400 Zé Doca";1;1;1
"210000 Município ignorado - MA";-;-;-
"220005 Acauã";-;-;-
"220010 Agricolândia";-;-;-
"220020 Água Branca";-;-;-
"220025 Alagoinha do Piauí";-;-;-
"220027 Alegrete do Piauí";-;-;-
"220030 Alto Longá";-;-;-
"220040 Altos";1;1;1
"220045 Alvorada do Gurguéia";-;-;-
"220050 Amarante";-;-;-
"220060 Angical do Piauí";-;-;-
"220070 Anísio de Abreu";-;-;-
"220080 Antônio Almeida";-;-;-
"220090 Aroazes";-;-;-
"220095 Aroeiras do Itaim";-;-;-
"220100 Arraial";-;-;-
"220105 Assunção do Piauí";-;-;-
"220110 Avelino Lopes";-;-;-
"220115 Baixa Grande do Ribeiro";-;-;-
"220117 Barra D'Alcântara";-;-;-
"220120 Barras";1;1;1
"220130 Barreiras do Piauí";-;-;-
"220140 Barro Duro";-;-;-
"220150 Batalha";-;-;-
"220155 Bela Vista do Piauí";-;-;-
"220157 Belém do Piauí";-;-;-
"220160 Beneditinos";-;-;-
"220170 Bertolínia";-;-;-
"220173 Betânia do Piauí";-;-;-
"220177 Boa Hora";-;-;-
"220180 Bocaina";-;-;-
"220190 Bom Jesus";4;4;1
"220191 Bom Princípio do Piauí";-;-;-
"220192 Bonfim do Piauí";-;-;-
"220194 Boqueirão do Piauí";-;-;-
"220196 Brasileira";-;-;-
"220198 Brejo do Piauí";-;-;-
"220200 Buriti dos Lopes";-;-;-
"220202 Buriti dos Montes";-;-;-
"220205 Cabeceiras do Piauí";-;-;-
"220207 Cajazeiras do Piauí";-;-;-
"220208 Cajueiro da Praia";1;1;1
"220209 Caldeirão Grande do Piauí";-;-;-
"220210 Campinas do Piauí";-;-;-
"220211 Campo Alegre do Fidalgo";-;-;-
"220213 Campo Grande do Piauí";-;-;-
"220217 Campo Largo do Piauí";-;-;-
"220220 Campo Maior";5;5;4
"220225 Canavieira";-;-;-
"220230 Canto do Buriti";-;-;-
"220240 Capitão de Campos";-;-;-
"220245 Capitão Gervásio Oliveira";-;-;-
"220250 Caracol";-;-;-
"220253 Caraúbas do Piauí";-;-;-
"220255 Caridade do Piauí";-;-;-
"220260 Castelo do Piauí";-;-;-
"220265 Caxingó";-;-;-
"220270 Cocal";-;-;-
"220271 Cocal de Telha";-;-;-
"220272 Cocal dos Alves";-;-;-
"220273 Coivaras";-;-;-
"220275 Colônia do Gurguéia";-;-;-
"220277 Colônia do Piauí";-;-;-
"220280 Conceição do Canindé";-;-;-
"220285 Coronel José Dias";-;-;-
"220290 Corrente";1;1;1
"220300 Cristalândia do Piauí";1;1;1
"220310 Cristino Castro";-;-;-
"220320 Curimatá";-;-;-
"220323 Currais";-;-;-
"220327 Curral Novo do Piauí";-;-;-
"220325 Curralinhos";-;-;-
"220330 Demerval Lobão";-;-;-
"220335 Dirceu Arcoverde";-;-;-
"220340 Dom Expedito Lopes";-;-;-
"220345 Dom Inocêncio";-;-;-
"220342 Domingos Mourão";-;-;-
"220350 Elesbão Veloso";-;-;-
"220360 Eliseu Martins";-;-;-
"220370 Esperantina";1;1;1
"220375 Fartura do Piauí";-;-;-
"220380 Flores do Piauí";-;-;-
"220385 Floresta do Piauí";-;-;-
